GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
17,CONFERENCE COGNITIVE SCIENCE,ACCS,Work in Progress,Work in Progress,MA:B,B,MA:[B|B-],46,540,B,46,540,B,"11,47",653,B-,"11,47",653,B-,1003,11503,1003,11503,,,,,,,,,,,,,,,,,,,1
18,INTERNATIONAL WORKSHOP ON ALGEBRAIC AND COMBINATORIAL CODING THEORY,ACCT,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
19,"INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, CONTROL, AND TELECOMMUNICATION TECHNOLOGIES",ACCTT,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"6,72",1134,D,"6,72",1134,D,277,1862,277,1862,,,,,,,,,,,,,,,,,,,1
20,ASIAN CONFERENCE ON COMPUTER VISION,ACCV,3,B,"CORE:B, MA:A-","A-, B","CORE:[B], MA:[A-|B]",74,238,A-,74,238,A-,"12,35",598,B,"12,35",598,B,2585,31926,2585,31926,,,,,,,,,,,,,,,,,B,B,2
21,"ACM INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER ENTERTAINMENT (MERGED WITH DIMEA, DIGITAL INTERACTIVE MEDIA IN ENTERTAINMENT AND ARTS, IN 2009)",DIMEA,3,B-,"CORE:B, LiveSHINE:C, MA:B","B, B, C","CORE:[B], LiveSHINE:[C|D], MA:[B|C]",49,474,B,"21, 49","474, 1676","C, B","9,93",769,C,"8,93, 9,93","769, 871","C, C",1589,15772,"148, 1589","1321, 15772",18,758,C,18,758,C,"0,93",1019,D,"0,93",1019,D,1153,1075,1153,1075,B,B,4
22,AUSTRALASIAN COMPUTING EDUCATION CONFERENCE (ACE),ACE-AUS,Work in Progress,Work in Progress,"CORE:NC, LiveSHINE:C","C, NC","CORE:[NC], LiveSHINE:[C|C]",,,,,,,,,,,,,,,,,20,700,C,20,700,C,"9,11",508,C,"9,11",508,C,141,1285,141,1285,NC,NC,2
23,ADVANCES IN COMPUTER-HUMAN INTERACTION,ACHI,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",22,1595,C,22,1595,C,"5,06",1419,D,"5,06",1419,D,627,3175,627,3175,,,,,,,,,,,,,,,,,C,C,2
24,AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION,ACII,3,B-,"CORE:C, LiveSHINE:B, MA:B","B, B, C","CORE:[C], LiveSHINE:[B|B-], MA:[B|B]",54,411,B,54,411,B,"12,87",561,B,"12,87",561,B,1214,15624,1214,15624,40,265,B,40,265,B,"11,13",405,B-,"11,13",405,B-,671,7471,671,7471,C,C,3
25,ASIAN CONFERENCE ON INTELLIGENT INFORMATION AND DATABASE SYSTEMS,ACIIDS,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C, MA:C","B, C, C","CORE:[B], LiveSHINE:[C|D], MA:[C|D]",25,1356,C,25,1356,C,"3,1",1785,D,"3,1",1785,D,1795,5561,1795,5561,18,758,C,18,758,C,"3,38",912,D,"3,38",912,D,806,2725,806,2725,B,B,3
26,IEEE/ACIS INTERNATIONAL CONFERENCE ON COMPUTER AND INFORMATION SCIENCE,ACIS ICIS,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
27,AUSTRALASIAN CONFERENCE ON INFORMATION SECURITY AND PRIVACY,ACISP,Work in Progress,Work in Progress,"CORE:NC, MA:B","B, NC","CORE:[NC], MA:[B|B]",53,420,B,53,420,B,"13,53",523,B,"13,53",523,B,963,13028,963,13028,,,,,,,,,,,,,,,,,NC,NC,2
28,ADVANCED CONCEPTS FOR INTELLIGENT VISION SYSTEMS,ACIVS,3,B-,"CORE:B, LiveSHINE:B, MA:C","B, B, C","CORE:[B], LiveSHINE:[B|D], MA:[C|D]",30,1053,C,30,1053,C,"5,61",1326,D,"5,61",1326,D,1072,6013,1072,6013,27,491,B,27,491,B,"5,61",749,D,"5,61",749,D,796,4467,796,4467,B,B,3
29,ASSOCIATION OF COMPUTATIONAL LINGUISTICS,ACL,1,A++,"CORE:A++, LiveSHINE:A++, MA:A++","A++, A++, A++","CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++]",247,16,A++,247,16,A++,"41,14",84,A++,"41,14",84,A++,10523,432955,10523,432955,120,17,A++,120,17,A++,"36,86",72,A++,"36,86",72,A++,2009,74054,2009,74054,A++,A++,3
30,WORKSHOP ON THE ACL2 THEOREM PROVER AND ITS APPLICATIONS,ACL2,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,5,1011,C,5,1011,C,"2,9",940,D,"2,9",940,D,39,113,39,113,,,1
31,WORKSHOP CHALLENGED NETWORKS,ACM CHANTS,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A],32,963,C,32,963,C,"18,6",347,A,"18,6",347,A,177,3292,177,3292,,,,,,,,,,,,,,,,,,,1
32,ACM SYMPOSIUM ON APPLIED COMPUTING,ACM SAC,2,A-,"CORE:B, LiveSHINE:A, MA:A","A, A, B","CORE:[B], LiveSHINE:[A|B-], MA:[A|B-]",100,129,A,100,129,A,"10,57",718,B-,"10,57",718,B-,9105,96243,9105,96243,67,94,A,67,94,A,"10,91",411,B-,"10,91",411,B-,4089,44610,4089,44610,B,B,3
33,INTERNATIONAL SYMPOSIUM ON SYMBOLIC AND ALGEBRAIC COMPUTATION,ISSAC,3,B,"CORE:A, LiveSHINE:B, MA:B","A, B, B","CORE:[A], LiveSHINE:[B|B], MA:[B|B]",61,335,B,"23, 61","335, 1503","C, B","14,39",485,B,"13,13, 14,39","485, 546","B, B",1802,25928,"147, 1802","1930, 25928",39,285,B,39,285,B,"13,57",325,B,"13,57",325,B,566,7680,566,7680,A,A,4
34,ACM-SIGMIS CPR CONFERENCE,ACM-SIGMIS CPR,Work in Progress,Work in Progress,LiveSHINE:B,B,LiveSHINE:[B|C],,,,,,,,,,,,,,,,,29,448,B,29,448,B,"9,28",498,C,"9,28",498,C,366,3395,366,3395,,,1
35,ACM/IEEE SYMPOSIUM ON EDGE COMPUTING,ACM/IEEE SEC,Work in Progress,Work in Progress,CORE:B,B,CORE:[B],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,1
36,ACM SYMPOSIUM ON COMPUTING AND DEVELOPMENT,ACMDEV,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],23,1503,C,23,1503,C,"8,74",889,C,"8,74",889,C,209,1827,209,1827,,,,,,,,,,,,,,,,,,,1
37,ASIAN CONFERENCE ON MACHINE LEARNING,ACML,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|C]",28,1170,C,28,1170,C,"7,46",1029,C,"7,46",1029,C,427,3185,427,3185,,,,,,,,,,,,,,,,,NC,NC,2
38,ACM MULTIMEDIA,ACMMM,1,A++,"CORE:A++, LiveSHINE:A++, MA:A+","A++, A++, A+","CORE:[A++], LiveSHINE:[A++|A], MA:[A+|A]",156,51,A+,156,51,A+,"21,98",260,A,"21,98",260,A,7750,170348,7750,170348,100,31,A++,100,31,A++,"22,28",156,A,"22,28",156,A,2862,63753,2862,63753,A++,A++,3
