GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
257,WORKSHOP ON COMBINATORIAL AND ALGORITHMIC ASPECTS OF NETWORKING,CAAN,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,7,996,C,7,996,C,"6,38",683,D,"6,38",683,D,21,134,21,134,,,1
258,COLLOQUIUM ON TREES IN ALGEBRA AND PROGRAMMING,CAAP,Work in Progress,Work in Progress,MA:B,B,MA:[B-|A-],42,633,B-,42,633,B-,"17,12",385,A-,"17,12",385,A-,482,8250,482,8250,,,,,,,,,,,,,,,,,,,1
259,IEEE INTERNATIONAL SYMPOSIUM ON COMPUTER AIDED CONTROL SYSTEM DESIGN,CACSD,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],28,1170,C,28,1170,C,"9,73",795,C,"9,73",795,C,338,3290,338,3290,,,,,,,,,,,,,,,,,,,1
260,COMPUTER-AIDED DESIGN AND COMPUTER GRAPHICS,CAD/GRAPHICS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],22,1595,C,22,1595,C,"2,71",1842,D,"2,71",1842,D,1124,3044,1124,3044,,,,,,,,,,,,,,,,,,,1
261,INTERNATIONAL JOINT CONFERENCE ON AUTOMATED REASONING,CADE,2,A-,"CORE:A, LiveSHINE:A-, MA:A-","A, A-, A-","CORE:[A], LiveSHINE:[B|A], MA:[B|A]",69,268,B,"43, 69","268, 613","B-, B","20,97",289,A,"19,23, 20,97","289, 330","A, A",1231,25820,"482, 1231","9271, 25820",38,296,B,"37, 38","296, 313","B, B","21,12",168,A,"21,07, 21,12","168, 169","A, A",224,4732,"223, 224","4698, 4732",A,"A, A",6
262,ISCA INTERNATIONAL CONFERENCE ON COMPUTER APPLICATIONS IN INDUSTRY AND ENGINEERING,CAINE,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
263,INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS,CAIP,3,B-,"CORE:B, LiveSHINE:B, MA:C","B, B, C","CORE:[B], LiveSHINE:[B|D], MA:[C|D]",41,654,C,41,654,C,"6,33",1204,D,"6,33",1204,D,1606,10158,1606,10158,26,511,B,26,511,B,"5,25",778,D,"5,25",778,D,795,4173,795,4173,B,B,3
264,INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION SYSTEMS ENGINEERING,CAISE,2,A,"CORE:A, LiveSHINE:A, MA:A-","A, A, A-","CORE:[A], LiveSHINE:[A|A+], MA:[A-|A-]",79,212,A-,79,212,A-,"17,29",381,A-,"17,29",381,A-,1921,33217,1921,33217,53,155,A,53,155,A,"24,47",136,A+,"24,47",136,A+,463,11331,463,11331,A,A,3
265,CONFERENCE ON ALGEBRA AND COALGEBRA IN COMPUTER SCIENCE,CALCO,Work in Progress,Work in Progress,"CORE:B, MA:C","B, C","CORE:[B], MA:[C|C]",22,1595,C,22,1595,C,"8,57",905,C,"8,57",905,C,231,1979,231,1979,,,,,,,,,,,,,,,,,B,B,2
266,COMPUTER AIDED MODELING AND DESIGN OF COMMUNICATION LINKS AND NETWORKS,CAMAD,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",22,1595,C,22,1595,C,"4,91",1454,D,"4,91",1454,D,672,3298,672,3298,15,848,C,15,848,C,"3,83",888,D,"3,83",888,D,308,1180,308,1180,,,2
267,IEEE INTERNATIONAL WORKSHOP ON COMPUTATIONAL ADVANCES IN MULTI-SENSOR ADAPTIVE PROCESSING,CAMSAP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],32,963,C,32,963,C,"6,45",1174,D,"6,45",1174,D,916,5910,916,5910,,,,,,,,,,,,,,,,,,,1
268,CRYPTOLOGY AND NETWORK SECURITY,CANS,Work in Progress,Work in Progress,"CORE:B, MA:C","B, C","CORE:[B], MA:[C|B-]",34,876,C,34,876,C,"10,57",717,B-,"10,57",717,B-,469,4959,469,4959,,,,,,,,,,,,,,,,,B,B,2
269,SMART CARD RESEARCH AND ADVANCED APPLICATION CONFERENCE,CARDIS,3,B-,"CORE:B, MA:B-","B, B-","CORE:[B], MA:[C|A-]",38,749,C,38,749,C,"16,66",397,A-,"16,66",397,A-,337,5613,337,5613,,,,,,,,,,,,,,,,,B,B,2
270,COMPUTER ASSISTED RADIOLOGY AND SURGERY,CARS,Work in Progress,Work in Progress,MA:B,B,MA:[B|B-],52,434,B,52,434,B,"10,03",758,B-,"10,03",758,B-,2264,22699,2264,22699,,,,,,,,,,,,,,,,,,,1
271,COMPUTER ALGEBRA IN SCIENTIFIC COMPUTING,CASC,Work in Progress,Work in Progress,CORE:B,B,CORE:[B],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,1
272,CONFERENCE OF THE CENTRE FOR ADVANCED STUDIES ON COLLABORATIVE RESEARCH,CASCON,3,B,"LiveSHINE:B, MA:B","B, B","LiveSHINE:[B|C], MA:[B|B]",47,513,B,47,513,B,"12,49",585,B,"12,49",585,B,990,12368,990,12368,27,491,B,27,491,B,7,643,C,7,643,C,416,2912,416,2912,,,2
273,WORKSHOP ON COMPUTER-AIDED SOFTWARE ENGINEERING,CASE,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,17,800,C,17,800,C,"2,5",960,D,"2,5",960,D,1013,2534,1013,2534,,,1
274,"INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURE, AND SYNTHESIS FOR EMBEDDED SYSTEMS",CASES,3,B,"CORE:B, LiveSHINE:B, MA:A-","A-, B, B","CORE:[B], LiveSHINE:[B|A-], MA:[B|A]",57,373,B,57,373,B,"20,02",312,A,"20,02",312,A,582,11650,582,11650,35,338,B,35,338,B,"16,43",258,A-,"16,43",258,A-,326,5355,326,5355,B,B,3
275,COMPUTATIONAL ASPECTS OF SOCIAL NETWORKS,CASON,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",19,1873,C,19,1873,C,"4,55",1524,D,"4,55",1524,D,338,1539,338,1539,14,862,C,14,862,C,"3,24",922,D,"3,24",922,D,270,874,270,874,,,2
276,INTERNATIONAL CONFERENCE ON COMPUTERS AND THEIR APPLICATIONS,CATA,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
277,COMPUTER AIDED VERIFICATION,CAV,1,A+,"CORE:A++, LiveSHINE:A+, MA:A+","A++, A+, A+","CORE:[A++], LiveSHINE:[A+|A++], MA:[A|A++]",134,78,A,134,78,A,"44,54",72,A++,"44,54",72,A++,1912,85167,1912,85167,78,71,A+,78,71,A+,"43,98",50,A++,"43,98",50,A++,582,25595,582,25595,A++,A++,3
278,"COMPUTER ANIMATION, INFORMATION VISUALISATION, AND DIGITAL EFFECTS",CAIVDE,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
279,IEEE CONFERENCE ON BUSINESS INFORMATICS,CBI,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"4,49",1534,D,"4,49",1534,D,473,2123,473,2123,,,,,,,,,,,,,,,,,,,1
280,CONTENT-BASED MULTIMEDIA INDEXING,CBMI,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",25,1356,C,25,1356,C,"6,41",1189,D,"6,41",1189,D,617,3952,617,3952,20,700,C,20,700,C,"5,98",727,D,"5,98",727,D,419,2507,419,2507,,,2
281,COMPUTER-BASED MEDICAL SYSTEMS,CBMS,3,B,"LiveSHINE:B, MA:B","B, B","LiveSHINE:[B|D], MA:[B|D]",45,564,B,45,564,B,"6,38",1192,D,"6,38",1192,D,2812,17929,2812,17929,33,368,B,33,368,B,"6,39",682,D,"6,39",682,D,1120,7152,1120,7152,,,2
282,CHINESE CONFERENCE ON BIOMETRIC RECOGNITION,CBR,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],23,1503,C,23,1503,C,"4,18",1593,D,"4,18",1593,D,663,2773,663,2773,,,,,,,,,,,,,,,,,,,1
283,COMPONENT-BASED SOFTWARE ENGINEERING,CBSE,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|B], MA:[C|B]",40,683,C,40,683,C,"14,23",490,B,"14,23",490,B,466,6631,466,6631,31,405,B,31,405,B,"14,22",310,B,"14,22",310,B,232,3299,232,3299,,,2
284,INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION,CC,3,B,"CORE:B, LiveSHINE:A-","A-, B","CORE:[B], LiveSHINE:[B|A]",,,,,,,,,,,,,,,,,32,379,B,32,379,B,"19,01",202,A,"19,01",202,A,183,3479,183,3479,B,B,2
285,IEEE INTERNATIONAL CONFERENCE ON CONTROL APPLICATIONS,CCA,3,B-,"LiveSHINE:B-, MA:B","B, B-","LiveSHINE:[B-|D], MA:[B|D]",62,327,B,62,327,B,"6,79",1122,D,"6,79",1122,D,6967,47283,6967,47283,23,607,B-,23,607,B-,"3,25",921,D,"3,25",921,D,1551,5042,1551,5042,,,2
286,IEEE CONFERENCE ON COMPUTATIONAL COMPLEXITY,CCC,2,A,"CORE:A, LiveSHINE:A","A, A","CORE:[A], LiveSHINE:[A-|A]",,,,,,,,,,,,,,,,,42,243,A-,42,243,A-,"20,14",179,A,"20,14",179,A,313,6305,313,6305,A,A,2
287,CANADIAN CONFERENCE ON COMPUTATIONAL GEOMETRY,CCCG,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",33,918,C,33,918,C,"5,32",1377,D,"5,32",1377,D,1462,7771,1462,7771,19,725,C,19,725,C,"4,23",858,D,"4,23",858,D,667,2820,667,2820,,,2
288,CHINESE CONTROL AND DECISION CONFERENCE,CCDC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"1,43",1984,D,"1,43",1984,D,14285,20491,14285,20491,,,,,,,,,,,,,,,,,,,1
289,CANADIAN CONFERENCE ON ELECTRICAL AND COMPUTER ENGINEERING,CCECE,Work in Progress,Work in Progress,MA:B,B,MA:[B|D],53,420,B,53,420,B,"4,63",1509,D,"4,63",1509,D,8438,39076,8438,39076,,,,,,,,,,,,,,,,,,,1
290,IEEE INTERNATIONAL CONFERENCE ON CLOUD COMPUTING IN EMERGING MARKETS,CCEM,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
291,CLUSTER COMPUTING AND THE GRID,CCGRID,2,A,"CORE:A, LiveSHINE:A, MA:A-","A, A, A-","CORE:[A], LiveSHINE:[A|A], MA:[A-|A-]",80,204,A-,80,204,A-,"17,21",382,A-,"17,21",382,A-,2156,37098,2156,37098,68,90,A,68,90,A,"18,88",206,A,"18,88",206,A,1351,25506,1351,25506,A,A,3
292,IEEE CONSUMER COMMUNICATIONS AND NETWORKING CONFERENCE,CCNC,3,B,"CORE:B, LiveSHINE:A-, MA:B","A-, B, B","CORE:[B], LiveSHINE:[A|C], MA:[B|C]",59,349,B,59,349,B,"7,35",1047,C,"7,35",1047,C,4042,29697,4042,29697,49,179,A,49,179,A,"8,1",572,C,"8,1",572,C,2394,19403,2394,19403,B,B,3
293,ACM CONFERENCE ON COMPUTER AND COMMUNICATIONS SECURITY,CCS,1,A++,"CORE:A++, LiveSHINE:A++, MA:A++","A++, A++, A++","CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++]",204,27,A++,204,27,A++,"45,48",69,A++,"45,48",69,A++,4476,203582,4476,203582,122,16,A++,122,16,A++,"60,77",27,A++,"60,77",27,A++,1053,63993,1053,63993,A++,A++,3
294,CONFERENCE ON COMPUTATIONAL STRUCTURES TECHNOLOGY,CCST,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],22,1595,C,22,1595,C,"3,45",1712,D,"3,45",1712,D,567,1958,567,1958,,,,,,,,,,,,,,,,,,,1
295,CLOUD COMPUTING SECURITY WORKSHOP,CCSW,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A++],28,1170,C,28,1170,C,"27,4",184,A++,"27,4",184,A++,130,3562,130,3562,,,,,,,,,,,,,,,,,,,1
296,IEEE COMPUTER COMMUNICATIONS WORKSHOP,CCW,Not Rated,Not Rated (discontinued event),LiveSHINE:B,B,LiveSHINE:[B|B-],,,,,,,,,,,,,,,,,30,423,B,30,423,B,"10,1",454,B-,"10,1",454,B-,469,4739,469,4739,,,1
297,IEEE ANNUAL COMPUTING AND COMMUNICATION WORKSHOP AND CONFERENCE,CCWC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"3,18",1768,D,"3,18",1768,D,748,2377,748,2377,,,,,,,,,,,,,,,,,,,1
298,IFIP/ACM WORKING CONFERENCE ON COMPONENT DEPLOYMENT,CD,Not Rated,Not Rated (discontinued event),LiveSHINE:B-,B-,LiveSHINE:[C|A++],,,,,,,,,,,,,,,,,10,938,C,10,938,C,"28,67",103,A++,"28,67",103,A++,15,430,15,430,,,1
299,INTERNATIONAL CROSS-DOMAIN CONFERENCE FOR MACHINE LEARNING AND KNOWLEDGE EXTRACTION,CD-MAKE,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
300,CONFERENCE ON DECISION AND CONTROL,CDC,2,A-,"LiveSHINE:A-, MA:A+","A+, A-","LiveSHINE:[A|C], MA:[A++|B]",184,33,A++,184,33,A++,"14,91",462,B,"14,91",462,B,28000,417522,28000,417522,76,77,A,76,77,A,"8,2",569,C,"8,2",569,C,7550,61887,7550,61887,,,2
301,COOPERATIVE DISTRIBUTED SYSTEMS,CDS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"6,13",1254,D,"6,13",1254,D,400,2453,400,2453,,,,,,,,,,,,,,,,,,,1
302,"COOPERATIVE DESIGN, VISUALIZATION AND ENGINEERING",CDVE,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C","C, C","CORE:[C], LiveSHINE:[C|D]",,,,,,,,,,,,,,,,,14,862,C,14,862,C,"3,1",932,D,"3,1",932,D,451,1400,451,1400,C,C,2
303,INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND APPLICATIONS,CEA,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"3,66",1682,D,"3,66",1682,D,650,2380,650,2380,,,,,,,,,,,,,,,,,,,1
304,CONFERENCE ON EMAIL AND ANTI-SPAM,CEAS,Not Rated,Not Rated (discontinued event),MA:B,B,MA:[B-|A+],44,589,B-,44,589,B-,"23,08",241,A+,"23,08",241,A+,312,7201,312,7201,,,,,,,,,,,,,,,,,,,1
305,IEEE CONGRESS ON EVOLUTIONARY COMPUTATION,CEC,2,A-,"CORE:B, LiveSHINE:A, MA:A","A, A, B","CORE:[B], LiveSHINE:[A|B-], MA:[A|B]",125,86,A,125,86,A,"15,63",432,B,"15,63",432,B,8907,139259,8907,139259,67,94,A,67,94,A,"10,46",434,B-,"10,46",434,B-,4145,43372,4145,43372,B,B,3
306,INTERNATIONAL CONFERENCE ON COMPUTER AND ELECTRICAL ENGINEERING,CEE,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"4,8",1474,D,"4,8",1474,D,476,2286,476,2286,,,,,,,,,,,,,,,,,,,1
307,IEEE CONFERENCE ON ELECTROMAGNETIC FIELD COMPUTATION,CEFC,Work in Progress,Work in Progress,MA:B,B,MA:[B|C],61,335,B,61,335,B,"7,92",980,C,"7,92",980,C,3304,26178,3304,26178,,,,,,,,,,,,,,,,,,,1
308,CONFERENCE ON ELECTRICAL INSULATION AND DIELECTRIC PHENOMENA,CEIDP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],39,706,C,39,706,C,"3,67",1676,D,"3,67",1676,D,6760,24834,6760,24834,,,,,,,,,,,,,,,,,,,1
309,INFORMATION SECURITY SYMPOSIUM,CERIAS,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
310,INTERNATIONAL CONFERENCE ON COMPUTER ENGINEERING AND TECHNOLOGY,CET,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],22,1595,C,22,1595,C,"2,36",1889,D,"2,36",1889,D,1803,4251,1803,4251,,,,,,,,,,,,,,,,,,,1
311,ACM INTERNATIONAL CONFERENCE ON COMPUTING FRONTIERS,CF,3,B-,"LiveSHINE:B, MA:B-","B, B-","LiveSHINE:[B|B], MA:[B-|C]",44,589,B-,44,589,B-,"9,91",771,C,"9,91",771,C,906,8982,906,8982,35,338,B,35,338,B,"12,51",359,B,"12,51",359,B,468,5855,468,5855,,,2
312,CONFERENCE ON THE FUTURE OF THE INTERNET,CFI,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],29,1098,C,29,1098,C,"7,18",1068,C,"7,18",1068,C,668,4799,668,4799,,,,,,,,,,,,,,,,,,,1
313,"COMPUTERS, FREEDOM AND PRIVACY",CFP,Work in Progress,Work in Progress,MA:C,C,MA:[C|B-],24,1428,C,24,1428,C,"10,65",714,B-,"10,65",714,B-,254,2705,254,2705,,,,,,,,,,,,,,,,,,,1
314,COMPUTER GAMES,CGAMES,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],37,778,C,37,778,C,"5,67",1315,D,"5,67",1315,D,1175,6666,1175,6666,,,,,,,,,,,,,,,,,,,1
315,COMPUTER GRAPHICS INTERNATIONAL,CGI,3,B-,"CORE:B, MA:B-","B, B-","CORE:[B], MA:[B-|C]",42,633,B-,42,633,B-,"8,71",892,C,"8,71",892,C,981,8542,981,8542,,,,,,,,,,,,,,,,,B,B,2
316,"INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS, IMAGING AND VISUALISATION",CGIV,Work in Progress,Work in Progress,"LiveSHINE:B-, MA:C","B-, C","LiveSHINE:[B-|D], MA:[C|D]",28,1170,C,28,1170,C,"4,33",1565,D,"4,33",1565,D,1311,5677,1311,5677,22,636,B-,22,636,B-,"5,61",752,D,"5,61",752,D,473,2653,473,2653,,,2
317,IEEE/ACM INTERNATIONAL SYMPOSIUM ON CODE GENERATION AND OPTIMIZATION,CGO,2,A,"CORE:A, LiveSHINE:A+, MA:A-","A+, A, A-","CORE:[A], LiveSHINE:[A|A++], MA:[B|A++]",62,327,B,62,327,B,"32,84",132,A++,"32,84",132,A++,577,18951,577,18951,53,155,A,53,155,A,"25,81",124,A++,"25,81",124,A++,315,8129,315,8129,A,A,3
318,COOPERATIVE AND HUMAN ASPECTS OF SOFTWARE ENGINEERING,CHASE,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],24,1428,C,24,1428,C,"7,47",1025,C,"7,47",1025,C,316,2361,316,2361,,,,,,,,,,,,,,,,,,,1
319,WORKSHOP ON CRYPTOGRAPHIC HARDWARE AND EMBEDDED SYSTEMS,CHES,1,A+,"CORE:A, LiveSHINE:A+, MA:A+","A+, A+, A","CORE:[A], LiveSHINE:[A|A++], MA:[A|A++]",109,113,A,109,113,A,"59,87",38,A++,"59,87",38,A++,837,50112,837,50112,68,90,A,68,90,A,"50,35",40,A++,"50,35",40,A++,347,17472,347,17472,A,A,3
320,ANNUAL SYMPOSIUM ON COMPUTER-HUMAN INTERACTION IN PLAY,CHI PLAY,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|D]",28,1170,C,28,1170,C,"4,95",1446,D,"4,95",1446,D,915,4525,915,4525,,,,,,,,,,,,,,,,,NC,NC,2
321,CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,CHI,1,A++,"CORE:A++, LiveSHINE:A++, MA:A++","A++, A++, A++","CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++]",278,10,A++,278,10,A++,"26,55",199,A++,"26,55",199,A++,21630,574309,21630,574309,166,4,A++,166,4,A++,"45,82",44,A++,"45,82",44,A++,3338,152959,3338,152959,A++,A++,3
322,CONFERENCE ON HUMAN INFORMATION INTERACTION AND RETRIEVAL,CHIIR,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"4,63",1512,D,"4,63",1512,D,427,1975,427,1975,,,,,,,,,,,,,,,,,,,1
323,INTERNATIONAL ICST CONFERENCE ON COMMUNICATIONS AND NETWORKING IN CHINA,CHINACOM,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],19,1873,C,19,1873,C,"3,93",1634,D,"3,93",1634,D,451,1772,451,1772,,,,,,,,,,,,,,,,,,,1
324,NEW ZEALAND CHAPTER'S INTERNATIONAL CONFERENCE ON COMPUTER-HUMAN INTERACTION,CHINZ,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],19,1873,C,19,1873,C,"6,72",1133,D,"6,72",1133,D,213,1432,213,1432,,,,,,,,,,,,,,,,,,,1
325,INTERNATIONAL CONFERENCE ON COMPUTER-HUMAN INTERACTION RESEARCH AND APPLICATIONS,CHIRA,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
326,INTERNATIONAL CONFERENCE ON COMPUTERS FOR HANDICAPPED PERSONS,CHP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],22,1595,C,22,1595,C,"4,85",1466,D,"4,85",1466,D,473,2296,473,2296,,,,,,,,,,,,,,,,,,,1
327,INTERNATIONAL CONFERENCE ON COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS,CHPSN,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|D]",30,1053,C,30,1053,C,"4,53",1528,D,"4,53",1528,D,1520,6889,1520,6889,,,,,,,,,,,,,,,,,C,C,2
328,CONFERENCE ON HUMAN SYSTEM INTERACTIONS,CHSI,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],25,1356,C,25,1356,C,"7,39",1042,C,"7,39",1042,C,330,2438,330,2438,,,,,,,,,,,,,,,,,,,1
329,COMPUTATIONAL INTELLIGENCE,CI,Work in Progress,Work in Progress,MA:A-,A-,MA:[A|D],84,186,A,84,186,A,"5,7",1311,D,"5,7",1311,D,8861,50482,8861,50482,,,,,,,,,,,,,,,,,,,1
330,COOPERATIVE INFORMATION AGENTS,CIA,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|B-], MA:[C|B-]",29,1098,C,29,1098,C,"11,45",656,B-,"11,45",656,B-,372,4258,372,4258,17,800,C,17,800,C,"10,72",418,B-,"10,72",418,B-,81,868,81,868,,,2
331,INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA,CIAA,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C, MA:C","B, C, C","CORE:[B], LiveSHINE:[C|C], MA:[C|D]",24,1428,C,24,1428,C,"6,91",1105,D,"6,91",1105,D,605,4181,605,4181,20,700,C,20,700,C,"7,2",627,C,"7,2",627,C,344,2478,344,2478,B,B,3
332,INTERNATIONAL CONFERENCE ON ALGORITHMS AND COMPLEXITY,CIAC,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|C]",24,1428,C,24,1428,C,"7,34",1048,C,"7,34",1048,C,313,2298,313,2298,,,,,,,,,,,,,,,,,C,C,2
333,IBEROAMERICAN CONGRESS ON PATTERN RECOGNITION,CIARP,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:B-, MA:C","B-, C, C","CORE:[C], LiveSHINE:[B-|D], MA:[C|D]",27,1230,C,27,1230,C,"4,36",1560,D,"4,36",1560,D,1676,7306,1676,7306,23,607,B-,23,607,B-,"4,35",846,D,"4,35",846,D,1020,4442,1020,4442,C,C,3
334,IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,CIBCB,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C, MA:C","C, C, C","CORE:[C], LiveSHINE:[C|D], MA:[C|D]",24,1428,C,24,1428,C,"4,76",1483,D,"4,76",1483,D,840,3995,840,3995,19,725,C,19,725,C,"4,7",818,D,"4,7",818,D,559,2627,559,2627,C,C,3
335,INTERNATIONAL CONFERENCE ON COMMUNICATIONS IN COMPUTING,CIC,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|D],,,,,,,,,,,,,,,,,6,1005,C,6,1005,C,"1,09",1014,D,"1,09",1014,D,160,175,160,175,,,1
336,CUSTOM INTEGRATED CIRCUITS CONFERENCE,CICC,3,B,"LiveSHINE:B, MA:A","A, B","LiveSHINE:[B|C], MA:[A|B-]",89,168,A,89,168,A,"11,13",678,B-,"11,13",678,B-,5866,65271,5866,65271,32,379,B,32,379,B,"7,03",640,C,"7,03",640,C,1126,7920,1126,7920,,,2
337,CONFERENCE ON INTELLIGENT TEXT PROCESSING AND COMPUTATIONAL LINGUISTICS,CICLING,3,B-,"CORE:B, LiveSHINE:B, MA:C","B, B, C","CORE:[B], LiveSHINE:[B|B-], MA:[C|D]",22,1595,C,22,1595,C,"6,17",1244,D,"6,17",1244,D,328,2023,328,2023,40,265,B,40,265,B,"10,61",424,B-,"10,61",424,B-,823,8734,823,8734,B,B,3
338,CONFERENCE ON INTELLIGENT COMPUTER MATHEMATICS,CICM,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
339,INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND COMMUNICATION NETWORKS,CICN,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],23,1503,C,23,1503,C,"3,33",1730,D,"3,33",1730,D,1519,5064,1519,5064,,,,,,,,,,,,,,,,,,,1
340,"COMPUTATIONAL INTELLIGENCE, COMMUNICATION SYSTEMS AND NETWORKS",CICSYN,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],23,1503,C,23,1503,C,"5,8",1300,D,"5,8",1300,D,498,2890,498,2890,,,,,,,,,,,,,,,,,,,1
